,Ano,Modalidad de ejecución de la obra,variable,value
0,2001.0,Asociacion Pública Privada APP,casosum,1
1,2001.0,Contrata,casosum,1
2,2002.0,Administración directa,casosum,2
3,2002.0,Por núcleo ejecutor,casosum,1
4,2004.0,Administración directa,casosum,1
5,2004.0,Contrata,casosum,1
6,2005.0,Administración directa,casosum,2
7,2006.0,Administración directa,casosum,7
8,2006.0,Contrata,casosum,3
9,2007.0,Administración directa,casosum,7
10,2007.0,Contrata,casosum,10
11,2008.0,Administración directa,casosum,30
12,2008.0,Contrata,casosum,26
13,2009.0,Administración directa,casosum,82
14,2009.0,Contrata,casosum,69
15,2010.0,Administración directa,casosum,257
16,2010.0,Asociacion Pública Privada APP,casosum,1
17,2010.0,Con organismo internacional,casosum,1
18,2010.0,Contrata,casosum,243
19,2010.0,Por núcleo ejecutor,casosum,1
20,2011.0,Administración directa,casosum,1039
21,2011.0,Asociacion Pública Privada APP,casosum,2
22,2011.0,Contrata,casosum,883
23,2011.0,Obras por impuestos,casosum,1
24,2011.0,Por núcleo ejecutor,casosum,4
25,2012.0,Administración directa,casosum,3314
26,2012.0,Asociacion Pública Privada APP,casosum,7
27,2012.0,Con organismo internacional,casosum,1
28,2012.0,Contrata,casosum,4111
29,2012.0,Obras por impuestos,casosum,4
30,2012.0,Por núcleo ejecutor,casosum,23
31,2013.0,Administración directa,casosum,3993
32,2013.0,Asociacion Pública Privada APP,casosum,21
33,2013.0,Con organismo internacional,casosum,1
34,2013.0,Contrata,casosum,5407
35,2013.0,Obras por impuestos,casosum,13
36,2013.0,Por núcleo ejecutor,casosum,3
37,2014.0,Administración directa,casosum,4077
38,2014.0,Asociacion Pública Privada APP,casosum,52
39,2014.0,Con organismo internacional,casosum,2
40,2014.0,Contrata,casosum,6398
41,2014.0,Obras por impuestos,casosum,32
42,2014.0,Por núcleo ejecutor,casosum,9
43,2015.0,Administración directa,casosum,4838
44,2015.0,Asociacion Pública Privada APP,casosum,31
45,2015.0,Con organismo internacional,casosum,2
46,2015.0,Contrata,casosum,5046
47,2015.0,Obras por impuestos,casosum,42
48,2015.0,Por núcleo ejecutor,casosum,193
49,2016.0,Administración directa,casosum,5231
50,2016.0,Asociacion Pública Privada APP,casosum,3
51,2016.0,Con organismo internacional,casosum,4
52,2016.0,Contrata,casosum,5720
53,2016.0,Obras por impuestos,casosum,45
54,2016.0,Por núcleo ejecutor,casosum,481
55,2017.0,Administración directa,casosum,3951
56,2017.0,Asociacion Pública Privada APP,casosum,11
57,2017.0,Con organismo internacional,casosum,5
58,2017.0,Contrata,casosum,5096
59,2017.0,Obras por impuestos,casosum,54
60,2017.0,Por núcleo ejecutor,casosum,116
61,2018.0,Administración directa,casosum,3832
62,2018.0,Asociacion Pública Privada APP,casosum,1
63,2018.0,Con organismo internacional,casosum,7
64,2018.0,Contrata,casosum,6634
65,2018.0,Obras por impuestos,casosum,38
66,2018.0,Por núcleo ejecutor,casosum,63
67,2019.0,Administración directa,casosum,5675
68,2019.0,Asociacion Pública Privada APP,casosum,3
69,2019.0,Con organismo internacional,casosum,4
70,2019.0,Contrata,casosum,5449
71,2019.0,Obras por impuestos,casosum,37
72,2019.0,Por núcleo ejecutor,casosum,417
73,2020.0,Administración directa,casosum,4752
74,2020.0,Asociacion Pública Privada APP,casosum,2
75,2020.0,Contrata,casosum,5408
76,2020.0,Gobierno a Gobierno,casosum,1
77,2020.0,Obras por impuestos,casosum,12
78,2020.0,Por núcleo ejecutor,casosum,141
79,2021.0,Administración directa,casosum,4949
80,2021.0,Con organismo internacional,casosum,2
81,2021.0,Contrata,casosum,5152
82,2021.0,Gobierno a Gobierno,casosum,78
83,2021.0,Obras por impuestos,casosum,20
84,2021.0,Por núcleo ejecutor,casosum,199
85,2022.0,Administración directa,casosum,5783
86,2022.0,Con organismo internacional,casosum,1
87,2022.0,Contrata,casosum,7117
88,2022.0,Gobierno a Gobierno,casosum,18
89,2022.0,Obras por impuestos,casosum,37
90,2022.0,Por convenio entre entidades,casosum,1
91,2022.0,Por núcleo ejecutor,casosum,157
92,2023.0,Administración directa,casosum,3270
93,2023.0,Con organismo internacional,casosum,1
94,2023.0,Contrata,casosum,3842
95,2023.0,Gobierno a Gobierno,casosum,7
96,2023.0,Obras por impuestos,casosum,9
97,2023.0,Por convenio entre entidades,casosum,6
98,2023.0,Por núcleo ejecutor,casosum,120
